"","BlindID","target.x","GeneExpRat","Batch","Cage","BG","AnimalID","Sex"
"133","B1.8","Cyp11b1",1.11029452075506,"Batch1",927693,19,"927693-1","M"
"134","B1.9","Cyp11b1",1.11436358869347,"Batch1",927693,19,"927693-2","M"
"135","B3.1.1","Cyp11b1",1.0970324937393,"Batch3",1064394,22,"1064394-1","M"
"136","B3.1.2","Cyp11b1",1.12086243049511,"Batch3",1064394,26,"1064394-2","M"
"137","B3.2.1","Cyp11b1",1.11976626482593,"Batch3",1062366,18,"1062366-1","M"
"138","B3.2.2","Cyp11b1",1.15594472087557,"Batch3",1062366,18,"1062366-2","M"
"139","B3.3.1","Cyp11b1",1.11745251341868,"Batch3",1068572,24,"1068572-1","M"
"140","B3.3.2","Cyp11b1",1.07199794306742,"Batch3",1068572,23,"1068572-2","M"
"141","B3.3.3","Cyp11b1",1.14816233318115,"Batch3",1068572,18,"1068572-3","M"
"142","B3.4.1","Cyp11b1",1.1031963296967,"Batch3",1074455,994804,"1074455-1","F"
"143","B3.4.2","Cyp11b1",1.08678761601406,"Batch3",1074455,26,"1074455-2","F"
"144","B3.5.1","Cyp11b1",1.12026373003796,"Batch3",1058108,853839,"1058108-1","M"
"145","B3.5.2","Cyp11b1",1.11132625196813,"Batch3",1058108,853839,"1058108-2","M"
"146","B3.5.3","Cyp11b1",1.12840943464589,"Batch3",1058108,853839,"1058108-3","M"
"147","B2.1","Cyp11b1",1.15857713037073,"Batch2",990342,NA,"990342-1","F"
"148","B2.2","Cyp11b1",1.16272887404894,"Batch2",990342,NA,"990342-2","F"
"149","B2.3","Cyp11b1",1.22409351421375,"Batch2",1001363,NA,"1001363-1","F"
"150","B2.4","Cyp11b1",NA,"Batch2",1001363,NA,"1001363-2","F"
